"subject","condition_num","time_bin","condition","fix","total_fix"
"11795386",0.5,0,"cohort",16,50
"11795386",0.5,100,"cohort",12,51
"11795386",0.5,200,"cohort",11,47
"11795386",0.5,300,"cohort",10,43
"11795386",0.5,400,"cohort",4,49
"11795386",0.5,500,"cohort",4,39
"11795386",0.5,600,"cohort",8,43
"11795386",0.5,700,"cohort",8,34
"11795386",0.5,800,"cohort",4,34
"11795386",0.5,900,"cohort",5,26
"11795386",0.5,1000,"cohort",6,25
"11795386",0.5,1100,"cohort",6,23
"11795386",0.5,1200,"cohort",5,22
"11795386",0.5,1300,"cohort",3,20
"11795386",0.5,1400,"cohort",5,16
"11795386",0.5,1500,"cohort",2,10
"11795386",0.5,1600,"cohort",4,13
"11795386",0.5,1700,"cohort",2,9
"11795386",0.5,1800,"cohort",4,6
"11795386",0.5,1900,"cohort",3,6
"11795387",-0.5,-100,"unrelated",10,63
"11795387",-0.5,0,"unrelated",6,64
"11795387",-0.5,100,"unrelated",10,54
"11795387",-0.5,200,"unrelated",10,57
"11795387",-0.5,300,"unrelated",9,54
"11795387",-0.5,400,"unrelated",5,54
"11795387",-0.5,500,"unrelated",9,47
"11795387",-0.5,600,"unrelated",3,43
"11795387",-0.5,700,"unrelated",5,39
"11795387",-0.5,800,"unrelated",3,35
"11795387",-0.5,900,"unrelated",2,28
"11795387",-0.5,1000,"unrelated",3,20
"11795387",-0.5,1100,"unrelated",6,20
"11795387",-0.5,1200,"unrelated",3,14
"11795387",-0.5,1300,"unrelated",2,9
"11795387",-0.5,1400,"unrelated",1,6
"11795387",-0.5,1500,"unrelated",2,6
"11795387",-0.5,1600,"unrelated",0,5
"11795387",-0.5,1700,"unrelated",0,5
"11795387",-0.5,1800,"unrelated",0,4
"11795387",-0.5,1900,"unrelated",0,2
"11795387",0.5,-100,"cohort",17,63
"11795387",0.5,0,"cohort",19,64
"11795387",0.5,100,"cohort",16,54
"11795387",0.5,200,"cohort",22,57
"11795387",0.5,300,"cohort",20,54
"11795387",0.5,400,"cohort",18,54
"11795387",0.5,500,"cohort",13,47
"11795387",0.5,600,"cohort",7,43
"11795387",0.5,700,"cohort",5,39
"11795387",0.5,800,"cohort",8,35
"11795387",0.5,900,"cohort",5,28
"11795387",0.5,1000,"cohort",4,20
"11795387",0.5,1100,"cohort",0,20
"11795387",0.5,1200,"cohort",0,14
"11795387",0.5,1300,"cohort",0,9
"11795387",0.5,1400,"cohort",2,6
"11795387",0.5,1500,"cohort",1,6
"11795387",0.5,1600,"cohort",1,5
"11795387",0.5,1700,"cohort",0,5
"11795387",0.5,1800,"cohort",0,4
"11795387",0.5,1900,"cohort",1,2
"11795388",-0.5,-100,"unrelated",14,60
"11795388",-0.5,0,"unrelated",14,62
"11795388",-0.5,100,"unrelated",16,63
"11795388",-0.5,200,"unrelated",19,69
"11795388",-0.5,300,"unrelated",8,55
"11795388",-0.5,400,"unrelated",12,55
"11795388",-0.5,500,"unrelated",13,63
"11795388",-0.5,600,"unrelated",8,48
"11795388",-0.5,700,"unrelated",4,58
"11795388",-0.5,800,"unrelated",2,43
"11795388",-0.5,900,"unrelated",5,40
